Nx_nodes= 41, Ny_nodes= 41
X	Y	U	V	P
8.750000e-01	7.500000e-02	2.086741e-02	1.067634e-02	-7.117126e-03
9.000000e-01	7.500000e-02	1.799288e-02	1.371037e-02	-7.330245e-03
9.250000e-01	7.500000e-02	1.312320e-02	1.440383e-02	-7.434147e-03
9.500000e-01	7.500000e-02	7.529326e-03	1.271990e-02	-7.461576e-03
9.750000e-01	7.500000e-02	2.577935e-03	8.200443e-03	-7.416326e-03
1.000000e+00	7.500000e-02	0.000000e+00	2.571731e-03	-8.382939e-03
0.000000e+00	1.000000e-01	0.000000e+00	-1.377125e-03	-4.264860e-04
2.500000e-02	1.000000e-01	4.001991e-05	-2.931092e-03	3.357696e-04
5.000000e-02	1.000000e-01	-1.058288e-03	-1.768832e-03	2.492212e-04
7.500000e-02	1.000000e-01	-3.894556e-03	1.751229e-03	1.177993e-04
1.000000e-01	1.000000e-01	-8.848210e-03	6.558165e-03	-4.788812e-05
1.250000e-01	1.000000e-01	-1.622011e-02	1.206169e-02	-2.434012e-04
1.500000e-01	1.000000e-01	-2.626179e-02	1.800929e-02	-4.744733e-04
1.750000e-01	1.000000e-01	-3.915490e-02	2.432770e-02	-7.572466e-04
2.000000e-01	1.000000e-01	-5.494512e-02	3.093989e-02	-1.114939e-03
2.250000e-01	1.000000e-01	-7.344768e-02	3.761186e-02	-1.572412e-03
2.500000e-01	1.000000e-01	-9.417426e-02	4.389134e-02	-2.149669e-03
2.750000e-01	1.000000e-01	-1.163361e-01	4.915898e-02	-2.854847e-03
3.000000e-01	1.000000e-01	-1.389426e-01	5.276128e-02	-3.677688e-03
3.250000e-01	1.000000e-01	-1.609593e-01	5.416026e-02	-4.585385e-03
3.500000e-01	1.000000e-01	-1.814563e-01	5.303424e-02	-5.522585e-03
3.750000e-01	1.000000e-01	-1.996924e-01	4.930003e-02	-6.416194e-03
4.000000e-01	1.000000e-01	-2.151280e-01	4.307308e-02	-7.184101e-03
4.250000e-01	1.000000e-01	-2.273921e-01	3.460544e-02	-7.746126e-03
4.500000e-01	1.000000e-01	-2.362364e-01	2.423217e-02	-8.035394e-03
4.750000e-01	1.000000e-01	-2.414915e-01	1.233901e-02	-8.008712e-03
5.000000e-01	1.000000e-01	-2.430342e-01	-6.486843e-04	-7.654933e-03
5.250000e-01	1.000000e-01	-2.407676e-01	-1.426028e-02	-7.000516e-03
5.500000e-01	1.000000e-01	-2.346140e-01	-2.796344e-02	-6.111509e-03
5.750000e-01	1.000000e-01	-2.245228e-01	-4.114430e-02	-5.090917e-03
6.000000e-01	1.000000e-01	-2.104958e-01	-5.309312e-02	-4.070239e-03
6.250000e-01	1.000000e-01	-1.926311e-01	-6.300755e-02	-3.194135e-03
6.500000e-01	1.000000e-01	-1.711869e-01	-7.002836e-02	-2.598261e-03
6.750000e-01	1.000000e-01	-1.466611e-01	-7.332371e-02	-2.382602e-03
7.000000e-01	1.000000e-01	-1.198722e-01	-7.223286e-02	-2.585919e-03
7.250000e-01	1.000000e-01	-9.201531e-02	-6.646406e-02	-3.170017e-03
7.500000e-01	1.000000e-01	-6.464811e-02	-5.630700e-02	-4.023077e-03
7.750000e-01	1.000000e-01	-3.955367e-02	-4.277069e-02	-4.986531e-03
8.000000e-01	1.000000e-01	-1.844738e-02	-2.752078e-02	-5.899503e-03
8.250000e-01	1.000000e-01	-2.579775e-03	-1.253602e-02	-6.643612e-03
8.500000e-01	1.000000e-01	7.587790e-03	4.182965e-04	-7.168073e-03
8.750000e-01	1.000000e-01	1.243140e-02	1.020981e-02	-7.485623e-03
9.000000e-01	1.000000e-01	1.293643e-02	1.639740e-02	-7.646680e-03
9.250000e-01	1.000000e-01	1.040967e-02	1.892448e-02	-7.708266e-03
9.500000e-01	1.000000e-01	6.305720e-03	1.763416e-02	-7.709791e-03
9.750000e-01	1.000000e-01	2.209358e-03	1.182527e-02	-7.658753e-03
1.000000e+00	1.000000e-01	0.000000e+00	3.828951e-03	-8.603187e-03
0.000000e+00	1.250000e-01	0.000000e+00	-1.204229e-03	-1.537161e-04
2.500000e-02	1.250000e-01	-8.878848e-04	-1.765984e-03	5.784093e-04
5.000000e-02	1.250000e-01	-4.007198e-03	1.247747e-03	4.556558e-04
7.500000e-02	1.250000e-01	-9.515072e-03	6.987039e-03	3.001676e-04
1.000000e-01	1.250000e-01	-1.761898e-02	1.431512e-02	1.120821e-04
1.250000e-01	1.250000e-01	-2.858470e-02	2.261691e-02	-1.143210e-04
1.500000e-01	1.250000e-01	-4.264386e-02	3.157473e-02	-3.964259e-04
1.750000e-01	1.250000e-01	-5.988497e-02	4.096936e-02	-7.641075e-04
2.000000e-01	1.250000e-01	-8.013905e-02	5.047519e-02	-1.255062e-03
2.250000e-01	1.250000e-01	-1.028960e-01	5.953157e-02	-1.906376e-03
2.500000e-01	1.250000e-01	-1.273118e-01	6.736510e-02	-2.744300e-03
2.750000e-01	1.250000e-01	-1.523306e-01	7.314820e-02	-3.774363e-03
3.000000e-01	1.250000e-01	-1.768740e-01	7.619796e-02	-4.974419e-03
3.250000e-01	1.250000e-01	-2.000075e-01	7.610940e-02	-6.292901e-03
3.500000e-01	1.250000e-01	-2.210219e-01	7.277742e-02	-7.652899e-03
3.750000e-01	1.250000e-01	-2.394303e-01	6.633567e-02	-8.960834e-03
4.000000e-01	1.250000e-01	-2.549220e-01	5.707039e-02	-1.011756e-02
4.250000e-01	1.250000e-01	-2.673092e-01	4.534873e-02	-1.102982e-02
4.500000e-01	1.250000e-01	-2.764801e-01	3.157370e-02	-1.162073e-02
4.750000e-01	1.250000e-01	-2.823610e-01	1.616414e-02	-1.183839e-02
5.000000e-01	1.250000e-01	-2.848852e-01	-4.452723e-04	-1.166249e-02
5.250000e-01	1.250000e-01	-2.839694e-01	-1.778774e-02	-1.110863e-02
5.500000e-01	1.250000e-01	-2.794976e-01	-3.533631e-02	-1.023025e-02
5.750000e-01	1.250000e-01	-2.713173e-01	-5.246890e-02	-9.117531e-03
6.000000e-01	1.250000e-01	-2.592527e-01	-6.843456e-02	-7.892261e-03
6.250000e-01	1.250000e-01	-2.431412e-01	-8.233280e-02	-6.697369e-03
6.500000e-01	1.250000e-01	-2.229012e-01	-9.312379e-02	-5.680023e-03
6.750000e-01	1.250000e-01	-1.986344e-01	-9.969247e-02	-4.968624e-03
7.000000e-01	1.250000e-01	-1.707599e-01	-1.009908e-01	-4.646615e-03
7.250000e-01	1.250000e-01	-1.401576e-01	-9.627296e-02	-4.729739e-03
7.500000e-01	1.250000e-01	-1.082741e-01	-8.540757e-02	-5.156299e-03
7.750000e-01	1.250000e-01	-7.710480e-02	-6.918239e-02	-5.799286e-03
8.000000e-01	1.250000e-01	-4.895249e-02	-4.942903e-02	-6.501885e-03
8.250000e-01	1.250000e-01	-2.591550e-02	-2.875381e-02	-7.125019e-03
8.500000e-01	1.250000e-01	-9.259310e-03	-9.838994e-03	-7.585614e-03
8.750000e-01	1.250000e-01	9.364058e-04	5.323457e-03	-7.867818e-03
9.000000e-01	1.250000e-01	5.586910e-03	1.572774e-02	-8.005724e-03
9.250000e-01	1.250000e-01	6.131179e-03	2.103012e-02	-8.051810e-03
9.500000e-01	1.250000e-01	4.205505e-03	2.091477e-02	-8.047923e-03
9.750000e-01	1.250000e-01	1.543118e-03	1.450294e-02	-8.007492e-03
1.000000e+00	1.250000e-01	0.000000e+00	4.781089e-03	-8.934767e-03
0.000000e+00	1.500000e-01	0.000000e+00	-4.935657e-04	1.537497e-04
2.500000e-02	1.500000e-01	-2.086791e-03	1.067468e-03	8.491589e-04
5.000000e-02	1.500000e-01	-7.626680e-03	6.849892e-03	6.836017e-04
7.500000e-02	1.500000e-01	-1.616374e-02	1.535497e-02	4.946970e-04
1.000000e-01	1.500000e-01	-2.767746e-02	2.562034e-02	2.634651e-04
1.250000e-01	1.500000e-01	-4.235351e-02	3.707982e-02	-3.219356e-05
1.500000e-01	1.500000e-01	-6.032571e-02	4.930363e-02	-4.261769e-04
1.750000e-01	1.500000e-01	-8.148764e-02	6.181786e-02	-9.654295e-04
2.000000e-01	1.500000e-01	-1.053773e-01	7.394681e-02	-1.702621e-03
2.250000e-01	1.500000e-01	-1.311655e-01	8.478144e-02	-2.683379e-03
2.500000e-01	1.500000e-01	-1.577756e-01	9.332372e-02	-3.932271e-03
2.750000e-01	1.500000e-01	-1.840881e-01	9.871985e-02	-5.441841e-03
3.000000e-01	1.500000e-01	-2.091301e-01	1.004377e-01	-7.168092e-03
3.250000e-01	1.500000e-01	-2.321695e-01	9.830842e-02	-9.033484e-03
3.500000e-01	1.500000e-01	-2.527168e-01	9.245785e-02	-1.093587e-02
3.750000e-01	1.500000e-01	-2.704811e-01	8.320140e-02	-1.276055e-02
4.000000e-01	1.500000e-01	-2.853210e-01	7.095360e-02	-1.439270e-02
4.250000e-01	1.500000e-01	-2.972015e-01	5.616533e-02	-1.572846e-02
4.500000e-01	1.500000e-01	-3.061521e-01	3.928577e-02	-1.668366e-02
4.750000e-01	1.500000e-01	-3.122268e-01	2.074588e-02	-1.720013e-02
5.000000e-01	1.500000e-01	-3.154650e-01	9.613587e-04	-1.724976e-02
5.250000e-01	1.500000e-01	-3.158559e-01	-1.964655e-02	-1.683688e-02
5.500000e-01	1.500000e-01	-3.133086e-01	-4.061455e-02	-1.599942e-02
5.750000e-01	1.500000e-01	-3.076310e-01	-6.138865e-02	-1.480872e-02
6.000000e-01	1.500000e-01	-2.985231e-01	-8.126916e-02	-1.336754e-02
6.250000e-01	1.500000e-01	-2.855942e-01	-9.935948e-02	-1.180513e-02
6.500000e-01	1.500000e-01	-2.684142e-01	-1.145360e-01	-1.026776e-02
6.750000e-01	1.500000e-01	-2.466160e-01	-1.254663e-01	-8.903323e-03
7.000000e-01	1.500000e-01	-2.200569e-01	-1.307114e-01	-7.839819e-03
7.250000e-01	1.500000e-01	-1.890386e-01	-1.289520e-01	-7.160539e-03
7.500000e-01	1.500000e-01	-1.545506e-01	-1.193624e-01	-6.882516e-03
7.750000e-01	1.500000e-01	-1.184515e-01	-1.020953e-01	-6.948355e-03
8.000000e-01	1.500000e-01	-8.342943e-02	-7.871335e-02	-7.240511e-03
8.250000e-01	1.500000e-01	-5.255001e-02	-5.223274e-02	-7.618249e-03
8.500000e-01	1.500000e-01	-2.834310e-02	-2.643738e-02	-7.963060e-03
8.750000e-01	1.500000e-01	-1.185128e-02	-4.640371e-03	-8.210328e-03
9.000000e-01	1.500000e-01	-2.432799e-03	1.119852e-02	-8.352753e-03
9.250000e-01	1.500000e-01	1.552592e-03	2.030168e-02	-8.418159e-03
9.500000e-01	1.500000e-01	2.024705e-03	2.221702e-02	-8.438430e-03
9.750000e-01	1.500000e-01	8.963423e-04	1.602770e-02	-8.427040e-03
1.000000e+00	1.500000e-01	0.000000e+00	5.372069e-03	-9.337486e-03
0.000000e+00	1.750000e-01	0.000000e+00	8.783920e-04	4.462266e-04
2.500000e-02	1.750000e-01	-3.487177e-03	5.852395e-03	1.098731e-03
5.000000e-02	1.750000e-01	-1.166491e-02	1.531663e-02	8.851561e-04
7.500000e-02	1.750000e-01	-2.333871e-02	2.703024e-02	6.498421e-04
1.000000e-01	1.750000e-01	-3.822146e-02	4.049800e-02	3.455458e-04
1.250000e-01	1.750000e-01	-5.637228e-02	5.525908e-02	-7.216300e-05
1.500000e-01	1.750000e-01	-7.775599e-02	7.070370e-02	-6.574721e-04
1.750000e-01	1.750000e-01	-1.020115e-01	8.601675e-02	-1.475149e-03
2.000000e-01	1.750000e-01	-1.283880e-01	1.001499e-01	-2.589122e-03
2.250000e-01	1.750000e-01	-1.558328e-01	1.119278e-01	-4.045080e-03
2.500000e-01	1.750000e-01	-1.831908e-01	1.202866e-01	-5.854365e-03
2.750000e-01	1.750000e-01	-2.094161e-01	1.245025e-01	-7.984948e-03
3.000000e-01	1.750000e-01	-2.336992e-01	1.242800e-01	-1.036202e-02
3.250000e-01	1.750000e-01	-2.554912e-01	1.196975e-01	-1.287688e-02
3.500000e-01	1.750000e-01	-2.744764e-01	1.110909e-01	-1.540065e-02
3.750000e-01	1.750000e-01	-2.905336e-01	9.894229e-02	-1.779897e-02
4.000000e-01	1.750000e-01	-3.036970e-01	8.379363e-02	-1.994519e-02
4.250000e-01	1.750000e-01	-3.141109e-01	6.618277e-02	-2.173022e-02
4.500000e-01	1.750000e-01	-3.219797e-01	4.660197e-02	-2.306882e-02
4.750000e-01	1.750000e-01	-3.275167e-01	2.547990e-02	-2.390262e-02
5.000000e-01	1.750000e-01	-3.308979e-01	3.186545e-03	-2.420097e-02
5.250000e-01	1.750000e-01	-3.322206e-01	-1.994170e-02	-2.396061e-02
5.500000e-01	1.750000e-01	-3.314669e-01	-4.355921e-02	-2.320510e-02
5.750000e-01	1.750000e-01	-3.284712e-01	-6.725279e-02	-2.198445e-02
6.000000e-01	1.750000e-01	-3.228941e-01	-9.047026e-02	-2.037508e-02
6.250000e-01	1.750000e-01	-3.142107e-01	-1.124411e-01	-1.847954e-02
6.500000e-01	1.750000e-01	-3.017263e-01	-1.321019e-01	-1.642465e-02
